date,total_events,status
2020-07-30,143702,ok
2020-07-31,133602,ok
2020-08-01,83705,ok
2020-08-02,71475,ok
2020-08-03,121877,ok
2020-08-04,136577,ok
2020-08-05,143399,ok
2020-08-06,148996,ok
2020-08-07,141402,ok
2020-08-08,87682,ok
2020-08-09,77241,ok
2020-08-10,126591,ok
2020-08-11,146905,ok
2020-08-12,148275,ok
2020-08-13,151048,ok
2020-08-14,149678,ok
2020-08-15,96769,ok
2020-08-16,81316,ok
2020-08-17,133773,ok
2020-08-18,150734,ok
2020-08-19,155511,ok
2020-08-20,155034,ok
2020-08-21,142735,ok
2020-08-22,86188,ok
2020-08-23,78048,ok
2020-08-24,132465,ok
2020-08-25,149614,ok
2020-08-26,152702,ok
2020-08-27,150228,ok
2020-08-28,140358,ok
2020-08-29,86515,ok
2020-08-30,80338,ok
2020-08-31,126554,ok
2020-09-01,149211,ok
2020-09-02,154293,ok
2020-09-03,152535,ok
2020-09-04,145197,ok
2020-09-05,87528,ok
2020-09-06,78886,ok
2020-09-07,109120,ok
2020-09-08,139625,ok
2020-09-09,153593,ok
2020-09-10,153348,ok
2020-09-11,150229,ok
2020-09-12,100361,ok
2020-09-13,82257,ok
2020-09-14,137621,ok
2020-09-15,154834,ok
2020-09-16,157473,ok
2020-09-17,151255,ok
2020-09-18,140752,ok
2020-09-19,93476,ok
2020-09-20,78319,ok
2020-09-21,130874,ok
2020-09-22,146270,ok
2020-09-23,158257,ok
2020-09-24,152458,ok
2020-09-25,138253,ok
2020-09-26,78664,ok
2020-09-27,86382,ok
2020-09-28,121912,ok
2020-09-29,141036,ok
2020-09-30,140726,ok
2020-10-01,148635,ok
2020-10-02,133796,ok
2020-10-03,70935,ok
2020-10-04,62849,ok
2020-10-05,110587,ok
2020-10-06,123364,ok
2020-10-07,120463,ok
2020-10-08,126678,ok
2020-10-09,90422,ok
2020-10-10,93104,ok
2020-10-11,73999,ok
2020-10-12,101555,ok
2020-10-13,104586,ok
2020-10-14,119540,ok
2020-10-15,103284,ok
2020-10-16,49062,ok
2020-10-17,72631,ok
2020-10-18,74073,ok
2020-10-19,96639,ok
2020-10-20,105653,ok
2020-10-21,106925,ok
2020-10-22,92774,ok
2020-10-23,75888,ok
2020-10-24,53242,ok
2020-10-25,62657,ok
2020-10-26,87059,ok
2020-10-27,88260,ok
2020-10-28,102263,ok
2020-10-29,74155,ok
2020-10-30,48356,ok
2020-10-31,32573,ok
2020-11-01,46050,ok
2020-11-02,87643,ok
2020-11-03,60723,ok
2020-11-04,94634,ok
2020-11-05,69297,ok
2020-11-06,31839,ok
2020-11-07,21493,ok
2020-11-08,34748,ok
2020-11-09,77373,ok
2020-11-10,80167,ok
2020-11-11,72614,ok
2020-11-12,66851,ok
2020-11-13,19998,ok
2020-11-14,16508,ok
2020-11-15,23087,ok
2020-11-16,56236,ok
2020-11-17,59109,ok
2020-11-18,156306,ok
2020-11-19,153204,ok
2020-11-20,139790,ok
2020-11-21,89676,ok
2020-11-22,75875,ok
2020-11-23,120493,ok
2020-11-24,139317,ok
2020-11-25,134797,ok
2020-11-26,113989,ok
2020-11-27,106257,ok
2020-11-28,77321,ok
2020-11-29,69856,ok
2020-11-30,116386,ok
2020-12-01,130311,ok
2020-12-02,133871,ok
2020-12-03,133386,ok
2020-12-04,125378,ok
2020-12-05,81462,ok
2020-12-06,69763,ok
2020-12-07,117566,ok
2020-12-08,136676,ok
2020-12-09,134829,ok
2020-12-10,136631,ok
2020-12-11,129714,ok
2020-12-12,85949,ok
