date,conflict_events,weighted_events,avg_goldstein,total_mentions,gdelt_total,events_per_100k,weighted_per_100k,goldstein_inv,idx_count,idx_weighted,idx_goldstein,MTI,MTI_smooth,category,13,14,15,16,17,18,19
2020-08-01,199,453.3,-7.661809045226131,2177,3833733,5.190763154345908,11.823984612386935,7.661809045226131,360.0902671389872,365.3774420766059,105.04241833695804,311.7242848473907,261.54481041364465,Severe,32,23,36,6,20,3,79
2020-09-01,154,331.0,-7.281168831168831,2209,3864745,3.984738967253984,8.564601286760187,7.281168831168831,276.42673659581135,264.65799924030205,99.82388987130949,235.22179857315632,290.78094616827997,High,28,14,33,8,18,4,49
2020-10-01,99,199.4,-6.78989898989899,685,2806007,3.5281451543064573,7.106183270390987,6.78989898989899,244.7522056666494,219.59086986149921,93.08864341993117,201.83882531473066,249.5949695784259,High,19,7,24,14,9,0,26
2020-11-01,61,135.1,-7.404918032786885,644,2411637,2.529402227615516,5.602003950014035,7.404918032786885,175.4680567695431,173.10965303649607,101.52047553776218,159.49933865666338,198.85332084818344,Medium,10,3,14,7,4,2,21
2020-12-01,67,160.0,-7.907462686567164,2090,3314126,2.021649146713191,4.827818857822545,7.907462686567164,140.2445381642521,149.18626528255476,108.41029822112453,138.3485537347779,166.56223923539065,Medium,8,5,17,3,3,0,31
2021-01-01,104,250.3,-8.111538461538462,3059,3401502,3.0574728458192877,7.358513974120844,8.111538461538462,212.1010304427963,227.38823683283474,111.20815089540001,199.56605772833626,165.80465003992583,High,19,11,11,8,3,2,50
2021-02-01,92,223.2,-8.181521739130435,1324,3210464,2.8656293918885245,6.952266089886072,8.181521739130435,198.79259033087223,214.83461657226422,112.16761264627566,189.48860791464892,175.80107312592102,Medium,12,15,14,1,3,1,46
2021-03-01,98,184.6,-6.809183673469389,832,3645213,2.6884574371922847,5.064175948017303,6.809183673469389,186.50193198274638,156.49002555145424,93.3530339557877,152.86619916170855,180.64028826823122,Medium,21,17,19,7,13,0,21
2021-04-01,160,315.2,-7.086875000000001,2055,3369399,4.748621341669538,9.35478404308899,7.086875000000001,329.4182910333826,289.0757368934786,97.16014639069601,262.7953850348933,201.71673070375027,Severe,41,34,15,11,7,9,43
2021-05-01,111,248.6,-7.090990990990991,1389,3371175,3.292620525484438,7.3742834471660474,7.090990990990991,228.4135433180648,227.87553531241124,97.21657609874468,201.905145871374,205.8555766893253,High,9,21,8,7,29,5,32
2021-06-01,63,144.9,-7.604761904761905,1221,3279490,1.9210304041177133,4.4183699294707415,7.604761904761905,133.26447977533104,136.53372834120395,104.26030936527803,129.09826997625692,197.93293362750808,Medium,6,11,11,4,5,0,26
2021-07-01,72,122.1,-6.368055555555555,2179,3126914,2.3025897098545083,3.9048083829616034,6.368055555555555,159.73376535949336,120.6639678193713,87.30522409409826,125.7131583363533,152.23885806132807,Medium,28,8,13,3,8,0,12
2021-08-01,48,100.8,-7.2749999999999995,496,2925857,1.6405449753696097,3.44514444827618,7.2749999999999995,113.80682586909631,106.4597178836702,99.73931598797965,107.31976990015993,120.7103994042567,Medium,6,6,14,0,8,0,14
2021-09-01,78,160.5,-7.288461538461538,1280,3396070,2.2967724457976426,4.726050994237457,7.288461538461538,159.3302138766057,146.04149785420694,99.92387195200712,140.8045874804866,124.61250523899993,Medium,22,4,19,3,4,0,26
2021-10-01,90,191.1,-7.488888888888889,587,3335034,2.6986231624625114,5.730076514962066,7.488888888888889,187.20714210684014,177.06727203845912,102.67170519419363,165.23011969012035,137.78482569025562,Medium,20,7,21,3,5,6,28
2021-11-01,77,157.0,-7.163636363636364,773,3168875,2.4298844227052188,4.954439667074277,7.163636363636364,168.5643719182642,153.09902303002346,98.21253483102528,146.76133005669604,150.93201240910096,Medium,18,6,19,5,5,1,23
2021-12-01,50,119.9,-7.9879999999999995,1484,2954730,1.6922019947677114,4.0579003834529725,7.9879999999999995,117.39034323669044,125.39472190740753,109.51445444838232,119.81735481438737,143.9362681870679,Medium,8,7,8,1,1,0,25
2022-01-01,33,81.4,-8.063636363636364,178,2961243,1.1143968934666961,2.7488456705511846,8.063636363636364,77.307221141714,84.94312473285524,110.55141928314647,87.77401256557111,118.11756581221817,Low,8,1,4,1,0,3,16
2022-02-01,18,43.6,-8.166666666666666,134,3217483,0.5594435153192729,1.355096514884461,8.166666666666666,38.809354017978876,41.87435239527568,111.96395150998862,54.97277270502923,87.52138002832923,Low,4,0,4,0,0,2,8
2022-03-01,45,100.3,-7.326666666666666,684,3910990,1.1506038113112027,2.564568050544747,7.326666666666666,79.81894404858406,79.24869196444818,100.4476593546755,83.65956106773442,75.46878211277824,Low,11,7,4,1,3,0,19
2022-04-01,54,123.2,-7.535185185185185,269,3211607,1.6814012424309697,3.8360857975462133,7.535185185185185,116.64108042530921,118.54034509022284,103.30642147259495,114.92378096722317,84.51870491332893,Medium,6,10,7,5,3,2,21
2022-05-01,47,109.5,-7.517021276595745,451,3339433,1.407424553808985,3.2789997583422097,7.517021276595745,97.63494663298877,101.32561767864377,103.05739661783495,100.56477215278551,99.71603806258103,Low,8,2,7,5,5,2,18
2022-06-01,80,161.9,-7.175,975,3132032,2.554252319261106,5.169168131104663,7.175,177.1919412684143,159.73442890210728,98.36832882663286,152.6984625969045,122.72900523897106,Medium,14,23,8,3,7,0,25
2022-07-01,90,203.0,-7.424444444444445,812,2950085,3.050759554385721,6.8811576615589045,7.424444444444445,211.63532032776803,212.63726800458684,101.78818013465904,190.16686612755564,147.81003362574856,Medium,17,15,9,0,12,2,35
2022-08-01,134,309.5,-7.65223880597015,3060,2915408,4.596269201429097,10.616009834644071,7.65223880597015,318.84941681448373,328.0493543926653,104.91121158544838,280.66174455776746,207.84235776074252,Severe,19,5,33,13,9,1,54
2022-09-01,28,66.2,-7.385714285714286,409,2941620,0.9518564600458251,2.250460630536915,7.385714285714286,66.03157123223869,69.54233920587713,101.25719463089933,74.83207989879004,181.88689686137104,Low,3,2,3,5,4,0,11
2022-10-01,35,82.8,-8.234285714285713,771,2887268,1.2122186094259348,2.86776288172764,8.234285714285713,84.09324600633626,88.61783066853606,112.89099997147072,92.11508913046305,149.20297119567348,Low,4,6,4,0,5,2,14
2022-11-01,48,120.7,-8.002083333333333,802,2589875,1.8533713017037503,4.660456585742556,8.002083333333333,128.5708762457171,144.01454010890612,109.707535140272,132.5200399562226,99.82240299515854,Medium,14,2,3,1,0,0,28
2022-12-01,41,90.4,-7.539024390243903,290,2562052,1.6002797757422567,3.5284217494414634,7.539024390243903,111.01357446095241,109.03310141555824,103.35905648104774,108.4924343422744,111.04252114298667,Medium,9,3,10,1,1,1,16
2023-01-01,45,98.2,-7.3711111111111105,657,2867893,1.569096197103588,3.4241165901238295,7.3711111111111105,108.85032739525909,105.80992804750898,101.05698698194074,105.77145963872036,115.5946446457391,Medium,8,8,4,3,6,0,16
2023-02-01,88,191.3,-7.622727272727272,912,2763159,3.184760630857652,6.923235325943965,7.622727272727272,220.93115640984598,213.93752590288156,104.50661225357194,194.14943232510896,136.1377754353679,High,12,24,8,3,8,0,33
2023-03-01,88,186.7,-7.090909090909091,839,3534065,2.490050409372776,5.282868311703378,7.090909090909091,172.73816786456212,163.24792139323293,97.21545325913668,152.88850170781242,150.9364645572139,Medium,21,4,16,4,16,0,27
2023-04-01,227,473.9,-7.106607929515419,4503,4472759,5.075167251354253,10.595250045888902,7.106607929515419,352.07122285768776,327.4078482708231,97.43068232091,288.8114274568999,211.94978716327375,Severe,54,13,45,17,24,8,66
